id,Cell Area,Cell Perimeter,Cluster,Nucleus Area,Nucleus Perimeter,Original Primary ID,Timeslice,Voltage API F(t) (autocorrelationAtPeriod),Voltage API F(t) (autocorrelationEntropyRatio),Voltage API F(t) (blurRadiusInGridUnits),Voltage API F(t) (blurRadiusInMsec),Voltage API F(t) (bpmApproximate),Voltage API F(t) (cellHealth),Voltage API F(t) (cvFullTransientAmplitude),Voltage API F(t) (cvFullTransientAmplitudeOrOne),Voltage API F(t) (cvFullTransientBPM),Voltage API F(t) (cvFullTransientBPMOrOne),Voltage API F(t) (cvFullTransientPeriod),Voltage API F(t) (cvTD50),Voltage API F(t) (downstroke100To10Time),Voltage API F(t) (downstroke100To20Time),Voltage API F(t) (downstroke100To30Time),Voltage API F(t) (downstroke100To40Time),Voltage API F(t) (downstroke75To25Time),Voltage API F(t) (downstroke90To10Time),Voltage API F(t) (downstroke90To20Time),Voltage API F(t) (downstroke90To30Time),Voltage API F(t) (downstroke90To40Time),Voltage API F(t) (hasFullTransients),Voltage API F(t) (hasTransients),Voltage API F(t) (isHealthy),Voltage API F(t) (logSNR),Voltage API F(t) (maxFullTransientBPM),Voltage API F(t) (maximumPeakMaxMinRatio),Voltage API F(t) (meanBPMorZero),Voltage API F(t) (meanDecayTime),Voltage API F(t) (meanDownstrokeNormedVelocity),Voltage API F(t) (meanDownstrokeTime),Voltage API F(t) (meanDownstrokeVelocity),Voltage API F(t) (meanExtendedTransientPCC),Voltage API F(t) (meanFullTransientAmplitude),Voltage API F(t) (meanFullTransientAmplitudeOrZero),Voltage API F(t) (meanFullTransientBPM),Voltage API F(t) (meanFullTransientPeriod),Voltage API F(t) (meanMaxMinRatio),Voltage API F(t) (meanMaxValue),Voltage API F(t) (meanMinValue),Voltage API F(t) (meanPaddedTransientPCC),Voltage API F(t) (meanRelativeVelocitySigma),Voltage API F(t) (meanRiseTime),Voltage API F(t) (meanTimeOnsetToPeak),Voltage API F(t) (meanTransientIntegral),Voltage API F(t) (meanTransientIntegralNorm),Voltage API F(t) (meanTransientSum),Voltage API F(t) (meanTransientSumNorm),Voltage API F(t) (meanUpstrokeNormedVelocity),Voltage API F(t) (meanUpstrokeTime),Voltage API F(t) (meanUpstrokeVelocity),Voltage API F(t) (minFullTransientBPM),Voltage API F(t) (noise),Voltage API F(t) (noiseRatio),Voltage API F(t) (numFullTransients),Voltage API F(t) (numFullTransientsOrNaN),Voltage API F(t) (numTransients),Voltage API F(t) (onsetTimes),Voltage API F(t) (periodApproximate),Voltage API F(t) (sdFullTransientBPM),Voltage API F(t) (sdFullTransientPeriod),Voltage API F(t) (signal),Voltage API F(t) (snr),Voltage API F(t) (td10),Voltage API F(t) (td100),Voltage API F(t) (td100Bazett),Voltage API F(t) (td100Fridericia),Voltage API F(t) (td100Normalized),Voltage API F(t) (td10Bazett),Voltage API F(t) (td10Fridericia),Voltage API F(t) (td10Normalized),Voltage API F(t) (td25),Voltage API F(t) (td25Bazett),Voltage API F(t) (td25Fridericia),Voltage API F(t) (td25Normalized),Voltage API F(t) (td30),Voltage API F(t) (td3090),Voltage API F(t) (td30Bazett),Voltage API F(t) (td30Fridericia),Voltage API F(t) (td30Normalized),Voltage API F(t) (td50),Voltage API F(t) (td50Bazett),Voltage API F(t) (td50Fridericia),Voltage API F(t) (td50Normalized),Voltage API F(t) (td60),Voltage API F(t) (td60Bazett),Voltage API F(t) (td60Fridericia),Voltage API F(t) (td60Normalized),Voltage API F(t) (td75),Voltage API F(t) (td75Bazett),Voltage API F(t) (td75Fridericia),Voltage API F(t) (td75Normalized),Voltage API F(t) (td90),Voltage API F(t) (td90Bazett),Voltage API F(t) (td90Fridericia),Voltage API F(t) (td90Minus30),Voltage API F(t) (td90Normalized),Voltage API F(t) (triangulation903030),Voltage API F(t) (triangulationRMS90),Voltage API F(t) (triangulationRMS90Upstroke),Voltage API F(t) (upstroke10To100Time),Voltage API F(t) (upstroke10To90Time),Voltage API F(t) (upstroke20To100Time),Voltage API F(t) (upstroke20To90Time),Voltage API F(t) (upstroke30To100Time),Voltage API F(t) (upstroke30To90Time),Voltage API F(t) (upstroke40To100Time),Voltage API F(t) (upstroke40To90Time),Voltage API F(t) (upstrokeRatio501001050),Well,Zslice
340,4428,266.1841467856416,0,1130,126.42784503423286,1,0,0.640442844,0.1485112760045449,1.352613722,13.56003731678386,61.15065117674621,0.24490436674489002,0.24787051414904981,0.24787051414904981,0.022892416645487603,0.022892416645487603,0.023174856332647903,0.06446784,881.6003075175335,855.6506358723688,771.3940885,626.9202232518181,571.8441538720425,717.6284087700424,691.6787371248778,607.4221897281789,462.94832450432705,TRUE,TRUE,FALSE,0.7346927331567034,61.38175814511517,1.024192942694071,60.436087190534366,542.1228186944089,0.010241176434070336,721.8045112781955,2.148180420495249E-4,0.8405304537251072,0.02067396,0.02067396,60.436087190534366,992.7843245516618,1.0206739601605321,1.0206739601605321,1,0.8488373044492818,0.083800652,33.51943157953914,44.78432417198602,11.398526501158734,569.8835532469938,1.1375263211795774,56.87210720177251,0.043745010118587974,33.41687552213875,8.952136069958595E-4,58.86716095384364,0.001230532,0.001217105,3,3,5,1206.08; 2183.57; 3202.81; 4184.43,981.1833373,1.383528088388729,23.00763409078965,0.00544961,4.428661134,188.82348986000474,985.7978279030909,31.281105277722876,98.80516919,0.9929627246565099,6.031017536309378,19.008397706177444,0.19019588161333714,274.93940118479856,8.781323017962624,27.676974455381565,0.2769376937019632,321.5358405,0.3630440349230755,10.268432175189444,32.36523498093362,0.3238728015671395,575.6422502739481,18.28030745828534,57.725690688547274,0.5798260871351956,662.2449250735098,21.01513933206855,66.37788020296168,0.6670582005538589,856.0451607251922,27.14267340173069,85.75564914960914,0.862267,924.8729636021902,29.33924720483625,92.68061739284322,603.3371230577033,0.931595051,15.99942795228868,0.9086788118867278,0.795319951,43.272656084656774,18.421064972143085,39.81076269747632,14.959171584962633,37.307240289397214,12.455649176883526,35.32470182169171,10.473110709178021,3.4036137281980223,A02,0
342,6793,310.32563542189035,0,1576,148.32396974191326,3,0,0.8555599693046928,0.27023200873396674,1.3638067797819897,13.672248418867063,30.03281297,0.3365610370145853,0.35195495477194677,0.35195495477194677,0.019670695,0.019670695,0.019664449031126553,0.091275302,916.6720785656227,878.8946405325271,826.3644342185332,694.4071643542565,686.5311854347085,848.8138123022361,811.0363742691404,758.5061679551466,626.5488980908699,TRUE,TRUE,FALSE,0.826842534,61.07142857142856,1.0233468753261625,60.00601080835016,524.9448866595086,0.013071704806756373,706.7669172932332,2.7905924600239045E-4,0.6863762574381052,0.017508129,0.017508129,60.00601080835016,999.8998298958857,1.0175081287865773,1.0175081287865773,1,0.7012970516114754,0.098133842,24.14433877092369,33.21187001463461,10.268430027248062,625.7624495321928,1.0244575712013195,62.42974292675572,0.046307699,25.062656641603986,7.852683504510022E-4,58.92968110183501,9.434703097676182E-4,9.351897419444221E-4,4,4,6,184.845; 1203.01; 2185.46; 3201.10; 4184.44,1997.8148584801645,1.1803599362131985,19.662479241219753,0.005388965,5.711854518204194,82.63491764037849,978.1512635,30.926118297882976,97.80223653406907,0.9782492548668398,2.6343412589366832,8.308108216,0.082643196,179.4240186,5.719641854011666,18.038715595301426,0.1794419933514625,203.76413155988558,0.22881399569953775,6.495317877249491,20.485301549158024,0.20378454467894297,549.0892254304323,17.376004465171608,54.93436623882175,0.5491442332654523,720.1707528117795,22.757304460480334,71.98172093,0.7202428996180218,875.0573551032801,27.641636261391138,87.44156232847607,0.8751450184708954,949.0890097503066,30.000653885897034,94.88246868,745.3248782,0.9491840896193874,35.353532530074766,0.8491384371947291,0.8088073097217108,32.41693118468393,17.640279807692046,29.746143071122205,14.969491694130319,27.390866947518596,12.61421557052671,25.763588457523042,10.986937080531156,2.925174651093513,A02,0
344,5046,269.23595599399425,0,815,106.1319932913728,5,0,0.7386613837429369,0.34300335233982326,2.8265608778842513,28.336449903601515,30.012453305580955,0.097311209,0.37828818527895913,0.37828818527895913,0.022987413993921277,0.022987413993921277,0.022983048439121766,0.060071564,907.4124236,883.4131146331192,824.6509647509605,804.4230185000522,568.9926914395227,830.7822002948527,806.7828913044898,748.0207414223311,727.7927951714229,TRUE,TRUE,FALSE,0.5266438129832253,61.30402875939595,1.013318117165051,59.99306017347809,577.8463184582033,0.013902516358907045,561.4035087719299,1.76333709601183E-4,0.41192855342607304,0.009974117,0.009974117,59.99306017347809,1000.1156771550216,1.009974116614635,1.009974116614635,1,0.45266158427248504,0.098799601,35.46694305222955,44.70324087335168,6.130880696593266,667.3114408608785,0.6118099405544035,66.59388556053148,0.044025922,37.59398496240605,4.2887390863498716E-4,58.66302734743666,0.001188739,0.001180521,4,4,6,183.944; 1206.74; 2185.46; 3202.44; 4184.41,1999.1701241178682,1.3790853109699714,22.985707052778928,0.002808226,2.362356922498136,103.99921541640599,992.4812030075187,31.368826165152853,99.21289655409456,0.992366409,3.315284788447456,10.45575675112313,0.10398718647451592,308.4674204506588,9.788893530080284,30.91869678568614,0.30843174194423234,383.01582944135936,0.40819141550438387,12.14058657783001,38.36137231666269,0.3829715283845016,613.3132615104329,19.401786809691835,61.345651815066155,0.6132423233831251,841.3183126,26.55801967697136,84.03223885,0.8412210025490108,884.7785624030473,27.944199586206363,88.40319065316676,0.8846762255741577,960.0953555908251,30.341859421087015,95.96837129,577.0795261494657,0.959984307,1.6981177091059232,0.809109439,0.7047801462858163,52.68293196734299,25.31393987956639,41.66472401103778,14.29573192326118,38.323645150325916,10.954653062549319,36.895294101277734,9.526302013501137,3.9236493530264607,A02,0
345,6434,300.4496630053028,0,1232,130.7440247200613,6,0,0.7755673378601562,0.15900243458388214,2.539241362514502,25.45605375954388,60.47909547221449,0.2633741234187819,0.19315926804361042,0.19315926804361042,0.4060309241082551,0.4060309241082551,0.4294310519537724,0.17305095143816873,1218.5411480846299,1052.577814059185,626.8550569892398,537.5610081026401,430.5676379820076,1101.2207862283346,935.2574522028899,509.5346951329445,420.2406462463448,TRUE,TRUE,FALSE,0.7549013822421856,61.102913580525914,1.0152796150712404,44.84863970883661,471.3765722,0.008696104,798.6633249791143,1.1481739076058945E-4,0.8340129407695375,0.013405839,0.013405839,44.84863970883661,1337.8332183434784,1.013405839140033,1.013405839140033,1,0.7600435649855538,0.071131404,57.234334573201714,74.43490047235241,9.727422176198209,700.6423923782919,0.9710417608474996,69.94424425567182,0.035845913,60.15037593984966,5.101390659892323E-4,29.990796515900374,9.022144901882882E-4,8.964776297776469E-4,3,3,5,172.072; 1203.01; 3203.62; 4185.57,992.0783294049992,18.209934625977112,574.5071262919408,0.004228894,4.6872377278629465,148.03444011299715,1346.7000835421888,36.347698837500914,120.78189893498768,1.0066277807107298,4.147712336,13.615465097368888,0.11065238781878597,321.6534515903358,9.105597648,29.791421101810357,0.24042866269131147,382.44311450008826,0.33875086902997537,10.90108037798332,35.587990540080256,0.28586755752233006,528.6109068206848,14.765354344853963,48.51781654931521,0.3951246684360382,597.8895904,16.783020469091586,55.06141309513981,0.446908914,774.5173201406182,21.537574350663245,70.87277362722331,0.5789341373206707,1292.8153898571097,34.67602499947323,115.46581232375377,910.3722753570214,0.9663501938290109,2.4438732112219377,0.8740736664761948,0.8082155338462147,74.27424177247983,43.56016351577795,67.58149087143262,36.86741261473074,63.04799218276428,32.33391393,60.32858230567288,29.614504048971003,3.0731713969725867,A02,0
346,6810,309.9161177,0,1403,140.19985734657507,7,0,0.5505805047807713,0.20591459933047665,2.0962609584702423,21.01514745333576,60.82526709759058,0.2790309587887609,0.3368357874996928,0.3368357874996928,0.019865180843694062,0.019865180843694062,0.019858058275501654,0.1398049306237154,901.1965393496062,860.5732805339344,747.1173578297792,633.6838209889886,564.3299934,781.9856685846216,741.3624098,627.9064870647948,514.4729502240042,TRUE,TRUE,FALSE,0.771325313,61.096309341997966,1.0205574616088517,59.96983362374537,523.1831584363013,0.009182384,694.2355889724312,1.7490834097889888E-4,0.825288901,0.015404110676723981,0.015404110676723981,59.96983362374537,1000.503025845359,1.015404110676724,1.015404110676724,1,0.8297979290650735,0.079462684,41.66077809909349,53.67465636428474,8.915524208,584.1366280565111,0.8896268310190416,58.28562970036002,0.04126417,45.11278195488726,6.343953051874231E-4,58.86224761581221,0.001021473,0.001013623,4,4,6,183.678; 1203.01; 2185.06; 3201.02; 4185.69,986.4321664832727,1.1913115901019466,19.868047392052876,0.00501179,4.906433423042652,139.54521818959853,1002.5062656641604,31.689300927681934,100.2229622507395,1.002002232644033,4.431042193284758,13.992849968077469,0.1394750586303245,271.6403123363454,8.626449672884664,27.24060464764012,0.2715037389385477,424.5892490264363,0.4512443883838705,13.438247007307751,42.482944298157804,0.4243757770424396,564.8439365353947,17.877411138934743,56.51656181106185,0.5645599482901502,677.2910315134537,21.416882506124892,67.72656947538894,0.6769505079119451,854.0048268392081,26.987999904662985,85.36183092791694,0.8535754563237131,951.7790280449728,30.078784702795417,95.13682760337925,527.1897790185366,0.9513004993071184,1.3086781473917455,0.8891726618515313,0.8256533086695217,50.5824887,30.248141270752576,48.01728946,27.682942034424975,45.680284184383666,25.345936759769543,43.607210524465145,23.272863099851023,5.263590984785473,A02,0
347,5197,269.5180884467683,0,737,99.7997996,8,0,0.7774209956331554,0.3427057605588401,1.8465604433999565,18.511884144360465,30.02347084969239,0.15578844840008407,0.4003593392806878,0.4003593392806878,0.021188935360405208,0.021188935360405208,0.021178125807109358,0.077393589,925.7750211348205,897.9570172861081,827.3903603418388,679.1888924253349,682.9110397,865.0198448275353,837.2018409788229,766.6351840345536,618.4337161180497,TRUE,TRUE,FALSE,0.6212841435549293,61.11387518963802,1.016065712791928,59.97499006817513,554.1365529267158,0.013241278595329082,634.0852130325815,1.98647285361198E-4,0.5095688994598486,0.011678972965909473,0.011678972965909473,59.97499006817513,1000.4170060186161,1.0116789729659095,1.0116789729659095,1,0.5215417827928883,0.10344258439760629,34.64168997925101,44.846522747494916,7.119772679858414,649.2820870095368,0.7105955284420076,64.80296782780015,0.047195104,35.087719298245624,5.418195411343498E-4,58.88623787466275,0.001156073,0.001149215,4,4,6,184.776; 1203.69; 2185.46; 3204.08; 4186.44,1998.4364999096945,1.2708061877955072,21.18695721303393,0.003677513,3.181038277601177,87.58412522,999.9999999999999,31.61218704360587,99.97673980995908,0.9995831678029187,2.7929167153980856,8.807375928173805,0.087547617,233.25723825985511,7.401270574594733,23.378272641468637,0.23316000913274618,330.06217254280693,0.3454504654864864,10.467146969385539,33.06844734937338,0.32992459200225255,588.7782429059669,18.60602364713645,58.85033243670798,0.5885328211773828,715.4049975021495,22.606554853703052,71.50496502204437,0.7151067936652379,924.9837578902526,29.22512331082492,92.44389503955615,0.9245981948781868,969.6060411044424,30.646109267526164,96.92696520893935,639.5438685616355,0.9692018780880256,15.50382307142085,0.8121545142187245,0.764517547,43.83101996962201,17.002071058933808,39.88217184575385,13.053222935065648,37.98035177,11.151402857499598,36.216105076814706,9.387156166126502,4.220661399418087,A02,0
348,7294,320.0593695,0,1632,150.35291816256844,9,0,0.7853804710552328,0.3135253248963348,1.3493821048537444,13.527640148909718,30.02203078044261,0.392634431,0.3378426638893595,0.3378426638893595,0.020250716,0.020250716,0.020241842,0.057337705,934.5005133383723,894.9992889141595,853.2605253571164,745.8958003943101,690.4848332887332,857.3126274495098,817.811403,776.0726394682538,668.7079145054474,TRUE,TRUE,FALSE,0.8748806772024067,61.091246770408524,1.0238208206473804,60.01701510769198,518.9034951879984,0.012655332695958093,616.5413533834586,2.938795285217647E-4,0.5822201736923537,0.018505826338338305,0.018505826338338305,60.01701510769198,999.7164952695256,1.0185058263383384,1.0185058263383384,1,0.6089909698104947,0.1123457058088539,22.02716383884112,32.15839888855647,10.920826753976868,630.4316707127663,1.0903965757051395,62.94155797627781,0.047731245,22.556390977443677,8.658456212701146E-4,58.95271352581098,8.761780217785603E-4,8.680637132322952E-4,4,4,6,186.616; 1203.33; 2185.46; 3203.23; 4185.48,1998.5323590796556,1.2153875079566612,20.23610364990632,0.005692425,6.496882035287272,91.66592350183964,994.9874686716792,31.46612710019336,99.50182028654697,0.9952696323205396,2.923464370918576,9.218652442895031,0.091691919,194.32145314092807,6.196518116179247,19.54061458314666,0.19437656,211.06168190382655,0.228877808,6.729203653818658,21.221607165007633,0.2111215358579473,540.9306590268395,17.117158409595678,54.11669722268488,0.5410840589171269,769.4860543,24.30480563,76.88790993391376,0.7697042690846728,893.2693358374727,28.224452443734986,89.27725653751195,0.893522654,963.7257618995243,30.470991170887928,96.36186027215668,752.6640799956978,0.96399906,27.92251721559761,0.849647277,0.8487997807401592,29.22524856115188,14.74721094817481,27.119637701732458,12.64160008875539,25.32655841271046,10.848520799733393,23.59025388901094,9.112216276,2.712841266197562,A02,0
349,6845,311.1012696856122,0,1393,141.3930691370691,10,0,0.8631417367896748,0.10507196451718209,3.0396208931884097,30.472389906650722,60.269277273994575,0.13678574347940045,0.14118615368855722,0.14118615368855722,0.036000081,0.036000081,0.035839684,0.1431357748253681,692.4955297735743,587.2183172924201,466.8223260641006,414.9593193671419,328.1644879727078,599.1039071,493.82669459956975,373.4307033712503,321.5676966742916,TRUE,TRUE,FALSE,0.5927318117327071,62.087225031271146,1.0113912128724207,59.70180254097452,370.66825214185974,0.002967701,253.13283208020056,2.8934150481654336E-5,0.8515800001415992,0.009927418,0.009927418,59.70180254097452,1004.9947815029675,1.0099274220602554,1.009927053962352,0.9999996358208751,0.8691277169239516,0.064957391,65.73583178533426,96.65105772050933,4.356079745,438.7283765214745,0.43497415343789164,43.81361831072262,0.028448376994547032,60.150375939849596,3.0007237381638136E-4,57.83467595463199,0.0011692,0.001164449,4,4,6,165.568; 1203.01; 2169.39; 3203.25; 4185.55,995.5320971782954,2.1492697055740972,36.01869589064678,0.003408218,2.9150004087116064,132.76222227675197,959.6843990023024,30.28788136887979,95.83936125312133,0.9549148081814878,4.195628492656516,13.270208869492434,0.13210239965446025,241.27464850670347,7.6323396157465515,24.13223715094709,0.24007552372150406,274.9987116358735,0.34886809,8.701316319429656,27.50987842,0.2736319796851219,436.4040839,13.79719123074798,43.632675313324924,0.4342351741116035,486.1934339474604,15.370492766163382,48.608999991334635,0.48377707317082697,597.7802752,18.87893371257119,59.72467350088966,0.5948093325691054,784.5889268397477,24.782227042878194,78.39638041725411,509.5902152038742,0.780689553,1.9441010499254454,0.9476084772192437,0.7816588177784972,92.09339706617347,52.722797482271815,83.73878920400423,44.36818962010258,77.07649033209594,37.70589074819429,71.23411458031846,31.86351499641681,5.177061230194868,A02,0
352,5333,274.1678318111007,0,796,104.46051885760477,13,0,0.7954436063648745,0.25495714900100597,3.1610381477633096,31.689605491361498,30.007193356632456,0.2098940731462465,0.3209368642754654,0.3209368642754654,0.021801705,0.021801705,0.021761084945312762,0.11693630204413213,908.3751444517818,873.2662663404953,838.1689361226618,739.9801654880972,668.4514017682404,811.4409844672788,776.3321063559923,741.2347761381587,643.0460055035942,TRUE,TRUE,FALSE,0.6935965552064002,61.38593764842742,1.0171059438678625,59.99370791160865,578.8119253681202,0.012617914059952174,674.1854636591479,2.0320826157050627E-4,0.6287928857468864,0.012947530630260606,0.012947530630260606,59.99370791160865,1000.104879138336,1.0129475306302607,1.0129475306302607,1,0.6285995345836134,0.098662194,17.750903108510236,27.397521675708177,7.667162024119117,633.3552610704753,0.7651322032120768,63.20701156889061,0.045974509757377824,20.050125313283083,5.954612290305811E-4,58.875761390003866,0.001041597,0.001034849,4,4,6,184.640; 1203.01; 2180.43; 3199.53; 4185.06,1999.520557851115,1.307965113,21.763367229151083,0.004102347,3.938517024047451,107.56231772145182,1007.5187969924812,31.841603913723688,100.71096696501624,1.0074131403703708,3.430699735409401,10.817852573500701,0.10755103786127379,199.5657923300468,6.366569286,20.073892054711784,0.1995448642366263,227.17371508153292,0.2647450575079793,7.2477156292873985,22.85174444322318,0.2271498917966082,596.5628284766304,18.86539358009348,59.65657471970288,0.596500268,759.2131769498662,23.980379797504124,75.86143824,0.7591335596762455,875.9915900377684,27.665424349890046,87.52269931549816,0.8758997264291919,936.8600090405314,29.603771470433703,93.63797942572509,709.6862939589985,0.936761762,36.81011047587739,0.8477447341128258,0.804221993,28.484864588749687,17.85670685180085,22.575936230542936,11.94777849,20.807673389505275,10.17951565255644,19.233011461768996,8.604853725,1.845753470456214,A02,0
353,6658,305.6075915287446,0,1344,135.8970198348735,14,0,0.418248021,0.2710730069736215,1.507039995631691,15.108170382272592,61.201121166732484,0.3594787757652541,0.38843720912945306,0.38843720912945306,0.018832955,0.018832955,0.018824384638973634,0.10536175769130732,932.2532242132293,889.8089927841836,853.1579990120885,735.5928039658637,708.8418458785088,865.8244877573716,823.3802563283259,786.7292625562308,669.1640675,TRUE,TRUE,FALSE,0.8471222683904309,61.07142857142856,1.0272169272035256,60.01920217630156,555.5245001271654,0.012099347840613105,568.9223058,3.1744735448480723E-4,0.7666819318579516,0.020168877900973214,0.020168877900973214,60.01920217630156,999.6800661187539,1.0201688779009732,1.0201688779009732,1,0.7729978479074862,0.10887177604498682,34.21274398507573,42.88905814729147,12.501051663234165,637.3979298133257,1.2471331182887064,63.587849357558966,0.048515313,35.087719298245624,9.544411257103553E-4,59.02469304349255,0.001069987,0.001058557,4,4,6,186.484; 1203.01; 2185.46; 3200.86; 4185.20,980.3741966840734,1.1303389355075355,18.818362080534015,0.006454913,6.032702860713558,93.23876076425645,992.4812030075188,31.386800633758195,99.25115901995964,0.9927988329914544,2.971865617,9.373128738976568,0.093268601,200.4078585,6.3875510377841875,20.146243871974832,0.20047199624132864,234.44444265223706,0.24911207008212707,7.472371895,23.567773257679214,0.23451947337758255,589.7372441122411,18.66304962486535,59.00263311798247,0.5899259814211251,771.2628833732779,24.37742149917369,77.10031581184683,0.7715097154709676,917.1623507096533,28.98902722821182,91.68563832488485,0.9174558759289113,973.1069391702522,30.771470284910976,97.30813396634474,738.6624965180151,0.9734183686870225,35.51655442621893,0.8386262490546575,0.7819819262095338,40.85371496,14.043690648624235,39.021986143180726,12.21196183478196,37.19025732933852,10.380233020939755,35.670079407414136,8.860055099,4.524626324240526,A02,0
354,7405,322.9334296724326,0,1685,153.22532427767936,15,0,0.7873350286571181,0.14551070383813833,2.0485366005640038,20.53670777507773,60.49960478964369,0.3151177448108719,0.540514772,0.540514772,0.5403680437847854,0.5403680437847854,0.4596249904945972,0.1261843247285557,1468.3509912952898,1320.7938541003746,719.5344371576384,588.6791417649918,470.56004036246435,1393.2983519019922,1245.7412147070768,644.4817977643409,513.6265023716942,TRUE,TRUE,FALSE,0.8069697004807662,59.0180277,1.0182821411928524,39.836935720917694,510.43336971251927,0.010335982722237428,1463.6591478696741,1.8573571240370517E-4,0.7861286167121275,0.013136012726812973,0.013136012726812973,39.836935720917694,1506.1399405902353,1.013136012726813,1.013136012726813,1,0.5043897605819267,0.082782572,23.60182851109832,32.12878095,13.226308583299609,818.2578474095285,1.3194819854977549,81.63436801491045,0.048280774,25.062656641603965,6.242605302751345E-4,30.06552229042804,8.879545501431283E-4,8.799991433071702E-4,2,2,4,186.369; 1203.01; 3198.65,991.7420156481879,21.526607025892535,692.2595559,0.004805298,5.4116484273522065,91.41680507520131,1518.7969924812028,38.67858326045098,131.07309506177106,1.008403636,2.074496053,7.323759206853153,0.06069609,333.0568408617584,9.035686009,29.97830957622545,0.22113273268036307,379.78793860127195,0.28071844084656633,10.141742401241977,33.823826219098414,0.2521597949606451,534.0351982236176,14.137771718263178,47.28684707008683,0.3545720977390299,613.6601355448058,16.06341298415511,53.930732388915615,0.4074389895698012,811.3737097483106,21.24689466074716,71.32449477,0.5387107053480997,1497.4694808812508,38.03610703686751,129.0109622506949,1117.6815422799789,0.9942432575650396,2.8994087297344135,0.7499823266710655,0.8446376330260822,29.118489585960944,12.75432390405733,27.739324317245305,11.375158635341691,26.36015904852968,9.995993366626067,24.980993779813957,8.616828097910343,3.7489070415872776,A02,0
355,7341,321.4965007585619,0,1655,151.7893276880822,16,0,0.8228628201243018,0.26456474782583494,1.660172607728712,16.64333441332042,30.020767501940423,0.46958318336170507,0.3581749213066144,0.3581749213066144,0.021016248147147792,0.021016248147147792,0.020987288706154163,1.0475974521122215,910.1573836575626,878.2496142610657,842.0177206276408,701.0789528435606,689.8603219013564,831.1106057520891,799.2028363555922,762.9709427221674,622.0321749380871,TRUE,TRUE,FALSE,0.9331918148268016,61.33373355476852,1.0301583973128678,60.02738391,276.04581301553134,0.011473238517037191,576.4411027568923,3.387621723017912E-4,0.7032060408961527,0.022929385365754174,0.022929385365754174,60.02738391,999.5438096234939,1.0229293853657542,1.0229293853657542,1,0.7092807555822728,0.1109648713477018,21.92795923739221,31.88213831,13.149808555677783,606.5919719,1.3122544480766358,60.533585553339364,0.04639556,22.55639097744362,0.001047694,58.93065640516904,9.530698318769374E-4,9.423516292639205E-4,4,4,6,186.037; 1203.01; 2181.26; 3199.41; 4184.21,1998.616457627935,1.2615503959789907,20.97771450701746,0.007218708,7.574164567063871,92.80487617518837,994.9874687,31.460317774532324,99.48951070646989,0.9954415795406395,2.9598673785977283,9.333357367065094,0.092847232,186.06743750083757,5.9351496789509355,18.71445800628057,0.18615235841531055,212.29774236298232,0.24323716475265364,6.771850513968769,21.352695240543795,0.21239463475137743,297.97377225292354,9.503039066636127,29.96632848,0.2981097670597987,724.5198197096503,22.890359298608818,72.40711106707892,0.7248504895273784,884.4166782488992,27.943588045583642,88.39000964079844,0.8848203247659945,938.8515073373085,29.678953234532436,93.86292283304795,726.5537649743262,0.9392799978331646,36.26958661657263,0.8569797421513727,0.8408968635943894,28.694123679745807,14.936025410030958,26.8856236,13.12752533429255,25.07712352826877,11.319025258553921,23.440866866089692,9.682768596374842,2.959365550909341,A02,0
356,6798,309.0728069565487,0,1404,139.3628357920432,17,0,0.6878512338424938,0.317055728,1.4688901124152387,14.725715412684096,30.021080858605256,0.5117737768240563,0.3423683683379489,0.3423683683379489,0.019855064270667376,0.019855064270667376,0.019822887,1.0453860438219538,937.5824894045526,903.3114196575024,851.0998570795571,759.1832247518932,756.2446477434119,886.0782975789336,851.8072278318834,799.5956653,707.6790329262744,TRUE,TRUE,FALSE,0.96212455,61.28494854265341,1.0392118872182865,60.01908624545239,266.9452052802243,0.013846415,609.0225563909776,5.169510778299385E-4,0.452323424,0.029620862901076794,0.029620862901076794,60.01908624545239,999.6819970671606,1.0296208629010768,1.0296208629010768,1,0.47391168152244195,0.11529366348398627,20.01528161031358,29.621685786556817,16.676984957647708,599.7067482840855,1.6641836589749623,59.84577970562857,0.047486448,20.050125313283196,0.001384166,58.97852418789973,0.001054364,0.001039721,4,4,6,185.688; 1203.01; 2182.04; 3197.99; 4184.42,1998.5955962941812,1.1916828148701855,19.8165835,0.008608706,8.164832875536788,64.05782548359278,992.4812030075188,31.38570623984773,99.24877062,0.9927969153383103,2.0417693970297215,6.439631291671916,0.064078203,138.00140377611046,4.398066559300062,13.871867662992752,0.13804530258719788,186.7235944188786,0.2025874580374739,5.9522866759741655,18.772478362973587,0.1867829919581258,286.9604868905379,9.147115077391465,28.848905381685736,0.28705177019533673,780.7299301275891,24.661785329368502,78.01530708936458,0.7809782835122299,902.4875310865094,28.52023045141718,90.20810653053019,0.9027746160621101,964.4897810429109,30.496106336809113,96.44030579,777.7661866240322,0.964796589,37.531231389403125,0.8153666614979079,0.8135165137203337,26.907291638358217,14.35365798038437,24.788162586418686,12.234528928444838,23.16743398105723,10.613800323083382,21.546705375695836,8.993071717721989,2.788922293048601,A02,0
